tweet_id,label
1241949968174387200,1
1241649820273709056,1
1241075579601985536,1
1242001719996739584,1
1241388679722979328,1
1242492018275889152,1
1242419733854588930,0
1240830754646523905,1
1241908426327941120,0
1242476319608201216,1
1241631591647997952,1
1241619416594255872,1
1241143349047853056,1
1242566871964102657,1
1241608444966137856,1
1241617994276409344,1
1235714275752267776,1
1235256530728972290,1
1235648554338791427,0
1235674258858061825,1
1235663306246860800,0
1235602629247537154,0
1235566351093137408,0
1235620307534258176,1
1235758466784014337,0
1235956474955718656,1
1235725137468514305,1
1235418456641531906,1
1235685422598062082,0
1235636443369873415,1
1235786467420581888,1
1235713244649713665,1
1236020820947931136,1
1235777621604134914,0
1235788666737291264,1
1235909436033699847,1
1235402290997141505,0
1235913020469108737,0
1235248869463732224,0
1235631509983412224,0
1235635838052175878,1
1235740278901723136,0
1235760705741127683,1
1236059089630908419,1
1235795983503630336,0
1235927534308556802,0
1235723999897882624,1
1235743728247037952,0
1235281112684843009,0
1234747040669716482,1
1235714090057830402,1
1235669879027576833,0
1235506614272241664,0
1236048815754326016,1
1235347146850914306,0
1234245348572487682,0
1235754913264779270,0
1235811829751799810,0
1235617743161815041,0
1235941267047174150,0
1235801885354758144,0
1236060750210387970,0
1235350438658134019,0
1235882155357728771,0
1236071277955252226,1
1235966384053485568,0
1235586819795947521,1
1235703439688175618,1
1235912217943355392,1
1235735428872974340,0
1235751746107879424,1
1235661301835235328,1
1235778760932196357,0
1235407182168023040,1
1234756199335133184,0
1235949880952094720,0
1235714445747179520,0
1235714668833828864,1
1235545254347984897,0
1235788042889318400,0
1235829825706680322,1
1235964038242340866,1
1235582989511213056,1
1235586291200389120,1
1236036720656650240,1
1235921373991546882,1
1235938655249870848,1
1235936415516700675,1
1235563421459976193,1
1235908760620748800,1
1235902012375674881,1
1235817262847635457,1
1234964653014384644,1
1234873136304267267,0
1235071285027147776,1
1234911110861594624,1
1234685467682979840,1
1235024875279933440,0
1235083359501430789,1
1235219248903073800,1
1234979421464879105,1
1235185048078278657,0
1234916336393969667,1
1234616723615166465,1
1235351764737675264,0
1235149229179404289,1
1234650511636410368,0
1234634259912155137,1
1235210250812305408,1
1235239113298759680,1
1235265562990637056,0
1234835892159877121,0
1235037111239077889,1
1235001112735944705,0
1235197302333149185,1
1235166676309676032,1
1235409660104015873,1
1234933752498921473,0
1235234176414162944,0
1235278295211618304,1
1235043647038443523,0
1234830346182709249,0
1234887886354382849,0
1234872254883909642,1
1237362407506313216,1
1237017804961804290,0
1237503474159452161,1
1237448230381801475,1
1237109798971355137,1
1222318351357054976,0
1236967717535731712,1
1237165569457225728,1
1237513303720521728,1
1236473220783636481,1
1237227416042364933,0
1236837019336269826,1
1237419307782393857,1
1236101614181720069,0
1237453703466156034,1
1237399797734223873,1
1237492257458204673,1
1236100103917756416,1
1237249222442807296,1
1236615342736076801,0
1236739714897473536,1
1236937893798707201,1
1236269496878366726,1
1236839326916341760,1
1221825190847483907,1
1237107071947948032,1
1236906182796644353,1
1236718775099064320,1
1237503494325559296,1
1237514979881844737,0
1236253902242226176,1
1236505833673879552,1
1237219150931599362,1
1236064273186672640,0
1236535783605121026,1
1236887326753574912,1
1237156303304302592,1
1236766822684405766,0
1237478365638074374,1
1237107445685772289,1
1236840007480020992,0
1237349518359724032,1
1236951328783388672,1
1236754358886371328,1
1237440523327045632,0
1236576408471822336,1
1237107865325834246,1
1237238011642793984,0
1236709853126627337,0
1236448518585319424,1
1237391701775249408,0
1237430016478191619,0
1237497416862986241,0
1236678669768093701,1
1237310167814791168,0
1237460460749766657,1
1237068715314892802,1
1237395939171561472,0
1237404677307760640,1
1236932313642143745,0
1236289649737371648,1
1237501242567544835,0
1237270988334592001,1
1237477595916251137,1
1236936132715143168,1
1237138362261258244,1
1236601634454528000,0
1237204103970689026,1
1237015260571168768,1
1236848918849294336,0
1237503272555909120,1
1236181131147522049,1
1236751849769676801,1
1236817440606056448,1
1237283622589206530,1
1236490588276523008,0
1237611886905937920,0
1236833678380027904,1
1236766442571337729,1
1236973525866602496,1
1236321657096032256,0
1237070550679379968,1
1237235176452706304,1
1237412870192640005,0
1237219650456489984,1
1237305169932472320,1
1237361576480473088,0
1237130970396078084,0
1237543674675728386,1
1237010126881447936,0
1237608143519014913,0
1237024126889385986,0
1236759873884479490,0
1237015945186398208,1
1237124933211348992,1
1237330231293288449,1
1237460074123190273,1
1236386465086615557,0
1237047503029178370,1
1236509612142145536,1
1237326787111239681,1
1237562584477265920,1
1237077247636496385,0
1237560750102556672,1
1236973636751425536,0
1236992946509094913,1
1237271298557882368,1
1236874568268201987,0
1237116341011853312,1
1236987681088757760,1
1237001239285637122,0
1236690061573394433,0
1237507876345786370,1
1237097081371795456,0
1229402828814327808,0
1237640389361876992,0
1237108672549052417,0
1236605070902300673,0
1236924515822628864,0
1236855863475728384,0
1237344519777067008,0
1236835458979483648,0
1237127396026748928,1
1237238588158312448,1
1237251356303507456,0
1236699162965463040,0
1236976049864368129,1
1234830633018544128,1
1235967295660277761,1
1235876564761374720,1
1235724594071375873,0
1235625977750974464,1
1235711139620753408,1
